iShares ESG Aware MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Dec 01, 2016"
Shares Outstanding,"107,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","1,347,538,770.60","7.60","1,347,538,770.60","6,299,854.00","213.90","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","1,313,095,954.30","7.40","1,313,095,954.30","3,950,230.00","332.41","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","953,764,900.40","5.38","953,764,900.40","1,945,268.00","490.30","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","635,196,127.28","3.58","635,196,127.28","2,582,518.00","245.96","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","626,278,359.84","3.53","626,278,359.84","1,845,469.00","339.36","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","423,272,888.67","2.39","423,272,888.67","1,246,717.00","339.51","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","371,554,003.92","2.10","371,554,003.92","551,832.00","673.31","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","345,257,060.94","1.95","345,257,060.94","1,006,962.00","342.87","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","278,764,612.65","1.57","278,764,612.65","300,863.00","926.55","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","275,053,780.80","1.55","275,053,780.80","768,135.00","358.08","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","246,825,659.08","1.39","246,825,659.08","707,399.00","348.92","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","242,846,060.42","1.37","242,846,060.42","213,431.00","1,137.82","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","232,632,975.00","1.31","232,632,975.00","453,918.00","512.50","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","211,653,770.79","1.19","211,653,770.79","570,603.00","370.93","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE","Health Care","Equity","140,884,129.31","0.79","140,884,129.31","536,681.00","262.51","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","140,759,537.36","0.79","140,759,537.36","526,637.00","267.28","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","126,656,783.16","0.71","126,656,783.16","775,513.00","163.32","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","125,694,763.26","0.71","125,694,763.26","1,166,649.00","107.74","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","122,620,739.30","0.69","122,620,739.30","1,213,466.00","101.05","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD CLASS A","Financials","Equity","117,341,434.50","0.66","117,341,434.50","206,678.00","567.75","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH","Information Technology","Equity","112,547,832.28","0.63","112,547,832.28","418,036.00","269.23","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","110,722,446.66","0.62","110,722,446.66","266,557.00","415.38","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","108,597,618.92","0.61","108,597,618.92","359,036.00","302.47","United States","NYSE","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP","Financials","Equity","108,114,602.70","0.61","108,114,602.70","801,205.00","134.94","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","107,986,564.48","0.61","107,986,564.48","2,170,148.00","49.76","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","106,726,220.16","0.60","106,726,220.16","136,353.00","782.72","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","106,305,751.40","0.60","106,305,751.40","723,070.00","147.02","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","102,283,180.56","0.58","102,283,180.56","114,444.00","893.74","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","101,654,079.03","0.57","101,654,079.03","1,156,869.00","87.87","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","99,960,840.65","0.56","99,960,840.65","266,101.00","375.65","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","96,671,970.72","0.55","96,671,970.72","103,064.00","937.98","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","91,745,129.38","0.52","91,745,129.38","633,118.00","144.91","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","85,927,492.42","0.48","85,927,492.42","424,501.00","202.42","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","84,157,618.95","0.47","84,157,618.95","427,565.00","196.83","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","84,113,296.78","0.47","84,113,296.78","482,467.00","174.34","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","83,931,670.20","0.47","83,931,670.20","268,238.00","312.90","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","79,262,190.49","0.45","79,262,190.49","516,467.00","153.47","United States","NYSE","USD","1.00","USD","-"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","77,542,724.40","0.44","77,542,724.40","149,178.00","519.80","United States","NYSE","USD","1.00","USD","-"
"NI","NISOURCE","Utilities","Equity","76,105,029.72","0.43","76,105,029.72","1,871,742.00","40.66","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","75,843,423.34","0.43","75,843,423.34","202,109.00","375.26","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA","Financials","Equity","74,472,601.20","0.42","74,472,601.20","1,286,228.00","57.90","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX","Communication","Equity","71,025,158.07","0.40","71,025,158.07","929,527.00","76.41","United States","NASDAQ","USD","1.00","USD","-"
"ECL","ECOLAB","Materials","Equity","69,587,541.60","0.39","69,587,541.60","253,895.00","274.08","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","69,097,062.69","0.39","69,097,062.69","859,737.00","80.37","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","68,621,500.34","0.39","68,621,500.34","219,638.00","312.43","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","68,532,123.60","0.39","68,532,123.60","478,710.00","143.16","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","67,237,391.38","0.38","67,237,391.38","72,682.00","925.09","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","66,572,987.72","0.38","66,572,987.72","265,718.00","250.54","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","65,780,070.35","0.37","65,780,070.35","494,773.00","132.95","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","65,675,068.16","0.37","65,675,068.16","444,712.00","147.68","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","65,389,784.13","0.37","65,389,784.13","275,337.00","237.49","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","65,150,078.01","0.37","65,150,078.01","238,479.00","273.19","United States","NASDAQ","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","64,891,720.38","0.37","64,891,720.38","464,109.00","139.82","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","64,510,536.54","0.36","64,510,536.54","139,606.00","462.09","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","64,406,167.50","0.36","64,406,167.50","122,097.00","527.50","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","64,286,923.01","0.36","64,286,923.01","364,459.00","176.39","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","63,999,789.12","0.36","63,999,789.12","62,982.00","1,016.16","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","63,980,408.82","0.36","63,980,408.82","245,446.00","260.67","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","63,936,386.64","0.36","63,936,386.64","151,623.00","421.68","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","62,266,503.60","0.35","62,266,503.60","320,796.00","194.10","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE","Financials","Equity","61,914,411.09","0.35","61,914,411.09","636,783.00","97.23","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","61,633,902.24","0.35","61,633,902.24","151,524.00","406.76","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","60,485,751.18","0.34","60,485,751.18","291,273.00","207.66","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS","Energy","Equity","60,313,282.90","0.34","60,313,282.90","850,681.00","70.90","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","58,676,433.27","0.33","58,676,433.27","255,437.00","229.71","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","58,155,362.24","0.33","58,155,362.24","1,370,296.00","42.44","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","57,340,923.50","0.32","57,340,923.50","290,275.00","197.54","United States","NYSE","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","57,169,413.50","0.32","57,169,413.50","272,365.00","209.90","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","54,726,600.60","0.31","54,726,600.60","192,185.00","284.76","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","54,144,756.90","0.31","54,144,756.90","624,507.00","86.70","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","53,977,174.64","0.30","53,977,174.64","35,512.00","1,519.97","United States","NASDAQ","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","52,998,086.28","0.30","52,998,086.28","188,659.00","280.92","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","52,510,728.62","0.30","52,510,728.62","226,838.00","231.49","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","52,359,210.00","0.30","52,359,210.00","391,500.00","133.74","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","51,106,448.25","0.29","51,106,448.25","135,795.00","376.35","United States","NASDAQ","USD","1.00","USD","-"
"CHD","CHURCH AND DWIGHT INC","Consumer Staples","Equity","51,016,666.50","0.29","51,016,666.50","534,150.00","95.51","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","50,673,652.68","0.29","50,673,652.68","139,967.00","362.04","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","50,440,615.26","0.28","50,440,615.26","380,569.00","132.54","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","50,184,536.64","0.28","50,184,536.64","207,924.00","241.36","United States","NASDAQ","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","50,137,723.71","0.28","50,137,723.71","120,243.00","416.97","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","49,775,748.44","0.28","49,775,748.44","269,291.00","184.84","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","49,613,369.92","0.28","49,613,369.92","296,447.00","167.36","United States","NASDAQ","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES","Health Care","Equity","49,489,341.48","0.28","49,489,341.48","96,354.00","513.62","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","49,268,601.30","0.28","49,268,601.30","1,905,205.00","25.86","United States","NYSE","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","48,587,709.90","0.27","48,587,709.90","38,615.00","1,258.26","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","48,583,004.94","0.27","48,583,004.94","62,033.00","783.18","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","48,148,791.85","0.27","48,148,791.85","54,265.00","887.29","United States","NYSE","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","47,256,907.16","0.27","47,256,907.16","543,058.00","87.02","United States","NYSE","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES","Industrials","Equity","46,818,172.80","0.26","46,818,172.80","186,720.00","250.74","United States","NYSE","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","46,774,684.88","0.26","46,774,684.88","399,647.00","117.04","United States","NYSE","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH","Health Care","Equity","46,382,660.94","0.26","46,382,660.94","199,461.00","232.54","United States","NYSE","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY","Energy","Equity","46,074,955.50","0.26","46,074,955.50","172,082.00","267.75","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","45,949,423.26","0.26","45,949,423.26","429,474.00","106.99","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","45,818,571.89","0.26","45,818,571.89","81,341.00","563.29","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","45,783,133.50","0.26","45,783,133.50","182,767.00","250.50","United States","NASDAQ","USD","1.00","USD","-"
"KMI","KINDER MORGAN","Energy","Equity","45,710,997.92","0.26","45,710,997.92","1,487,504.00","30.73","United States","NYSE","USD","1.00","USD","-"
"STT","STATE STREET","Financials","Equity","45,527,650.90","0.26","45,527,650.90","248,921.00","182.90","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","45,409,651.98","0.26","45,409,651.98","88,473.00","513.26","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","45,373,456.04","0.26","45,373,456.04","239,261.00","189.64","United States","NYSE","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY","Energy","Equity","44,628,837.78","0.25","44,628,837.78","229,407.00","194.54","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","44,248,658.40","0.25","44,248,658.40","42,660.00","1,037.24","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","43,767,813.80","0.25","43,767,813.80","269,092.00","162.65","United States","NYSE","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK","Consumer Staples","Equity","42,157,395.90","0.24","42,157,395.90","429,739.00","98.10","United States","NASDAQ","USD","1.00","USD","-"
"COR","CENCORA","Health Care","Equity","41,635,594.00","0.23","41,635,594.00","130,724.00","318.50","United States","NYSE","USD","1.00","USD","-"
"RJF","RAYMOND JAMES","Financials","Equity","41,525,618.96","0.23","41,525,618.96","252,328.00","164.57","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","41,289,822.00","0.23","41,289,822.00","176,076.00","234.50","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","40,524,283.80","0.23","40,524,283.80","101,871.00","397.80","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","40,371,049.41","0.23","40,371,049.41","60,303.00","669.47","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","40,242,712.38","0.23","40,242,712.38","1,465,503.00","27.46","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS","Information Technology","Equity","40,122,265.50","0.23","40,122,265.50","143,345.00","279.90","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","39,649,497.75","0.22","39,649,497.75","182,725.00","216.99","United States","NYSE","USD","1.00","USD","-"
"SYY","SYSCO","Consumer Staples","Equity","39,360,116.15","0.22","39,360,116.15","500,065.00","78.71","United States","NYSE","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES","Energy","Equity","39,217,670.09","0.22","39,217,670.09","137,717.00","284.77","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","39,001,183.62","0.22","39,001,183.62","73,479.00","530.78","United States","NYSE","USD","1.00","USD","-"
"ADSK","AUTODESK","Information Technology","Equity","38,872,377.64","0.22","38,872,377.64","176,444.00","220.31","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","38,717,755.30","0.22","38,717,755.30","59,710.00","648.43","United States","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES","Health Care","Equity","37,379,393.28","0.21","37,379,393.28","418,676.00","89.28","United States","NYSE","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP","Financials","Equity","37,209,619.31","0.21","37,209,619.31","383,723.00","96.97","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","37,017,010.47","0.21","37,017,010.47","619,739.00","59.73","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS","Information Technology","Equity","36,814,155.37","0.21","36,814,155.37","97,271.00","378.47","United States","NASDAQ","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","36,198,290.20","0.20","36,198,290.20","1,463,740.00","24.73","United States","NYSE","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT","Real Estate","Equity","35,800,617.19","0.20","35,800,617.19","197,717.00","181.07","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","35,752,668.80","0.20","35,752,668.80","208,592.00","171.40","United States","NASDAQ","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","34,923,220.70","0.20","34,923,220.70","226,627.00","154.10","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","34,463,659.15","0.19","34,463,659.15","122,887.00","280.45","United States","NYSE","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","34,409,154.24","0.19","34,409,154.24","83,404.00","412.56","United States","NYSE","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","33,972,906.06","0.19","33,972,906.06","922,926.00","36.81","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","33,764,474.29","0.19","33,764,474.29","475,757.00","70.97","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","33,478,359.57","0.19","33,478,359.57","147,009.00","227.73","United States","NYSE","USD","1.00","USD","-"
