iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,082,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","65,870,906,276.40","7.96","65,870,906,276.40","307,951,876.00","213.90","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","62,075,017,915.30","7.50","62,075,017,915.30","186,742,330.00","332.41","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","46,308,305,476.00","5.60","46,308,305,476.00","94,448,920.00","490.30","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","30,612,608,340.60","3.70","30,612,608,340.60","124,461,735.00","245.96","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","25,562,171,574.06","3.09","25,562,171,574.06","74,553,538.00","342.87","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","20,438,164,527.06","2.47","20,438,164,527.06","60,199,006.00","339.51","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","20,393,453,008.32","2.47","20,393,453,008.32","60,093,862.00","339.36","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS CLASS A","Communication","Equity","18,799,899,229.10","2.27","18,799,899,229.10","27,921,610.00","673.31","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","13,285,485,423.00","1.61","13,285,485,423.00","14,338,660.00","926.55","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","12,817,616,473.92","1.55","12,817,616,473.92","35,795,399.00","358.08","United States","NASDAQ","USD","1.00","USD","-"
"BRK B","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","12,116,349,832.40","1.46","12,116,349,832.40","23,309,638.00","519.80","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","11,887,271,390.28","1.44","11,887,271,390.28","34,068,759.00","348.92","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","11,444,008,095.34","1.38","11,444,008,095.34","10,057,837.00","1,137.82","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","10,625,353,975.00","1.28","10,625,353,975.00","20,732,398.00","512.50","United States","NASDAQ","USD","1.00","USD","-"
"XOM","EXXONMOBIL HOLDINGS CORP","Energy","Equity","8,607,155,411.04","1.04","8,607,155,411.04","52,701,172.00","163.32","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","8,180,572,674.56","0.99","8,180,572,674.56","30,606,752.00","267.28","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","7,827,566,274.99","0.95","7,827,566,274.99","21,102,543.00","370.93","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","6,345,976,681.15","0.77","6,345,976,681.15","62,800,363.00","101.05","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","5,992,139,762.50","0.72","5,992,139,762.50","55,740,835.00","107.50","United States","NASDAQ","USD","1.00","USD","-"
"ABBV","ABBVIE","Health Care","Equity","5,897,022,014.90","0.71","5,897,022,014.90","22,463,990.00","262.51","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD CLASS A","Financials","Equity","5,824,431,429.00","0.70","5,824,431,429.00","10,258,796.00","567.75","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","5,410,790,715.84","0.65","5,410,790,715.84","50,220,816.00","107.74","United States","NASDAQ","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES CLASS A","Information Technology","Equity","5,089,569,336.36","0.62","5,089,569,336.36","29,193,354.00","174.34","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","5,041,588,233.74","0.61","5,041,588,233.74","5,641,001.00","893.74","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON","Energy","Equity","5,035,264,196.76","0.61","5,035,264,196.76","23,802,894.00","211.54","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA","Financials","Equity","4,806,362,549.70","0.58","4,806,362,549.70","83,011,443.00","57.90","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","4,583,614,581.76","0.55","4,583,614,581.76","5,856,008.00","782.72","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","4,550,549,171.99","0.55","4,550,549,171.99","31,402,589.00","144.91","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","4,352,817,464.50","0.53","4,352,817,464.50","29,606,975.00","147.02","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,332,933,585.84","0.52","4,332,933,585.84","11,546,484.00","375.26","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","4,326,143,075.76","0.52","4,326,143,075.76","49,233,448.00","87.87","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH","Information Technology","Equity","4,280,853,115.11","0.52","4,280,853,115.11","15,900,357.00","269.23","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","4,191,381,505.50","0.51","4,191,381,505.50","10,090,475.00","415.38","United States","NASDAQ","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","4,150,819,694.70","0.50","4,150,819,694.70","13,265,643.00","312.90","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX","Communication","Equity","4,090,862,267.10","0.49","4,090,862,267.10","53,538,310.00","76.41","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","3,873,531,879.25","0.47","3,873,531,879.25","10,311,545.00","375.65","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","3,830,443,783.60","0.46","3,830,443,783.60","12,663,880.00","302.47","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","3,798,992,841.92","0.46","3,798,992,841.92","19,816,352.00","191.71","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","3,518,150,996.52","0.43","3,518,150,996.52","3,750,774.00","937.98","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,387,019,570.90","0.41","3,387,019,570.90","38,908,898.00","87.05","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","3,370,212,030.33","0.41","3,370,212,030.33","17,122,451.00","196.83","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","3,160,704,123.05","0.38","3,160,704,123.05","3,416,645.00","925.09","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","3,124,449,610.24","0.38","3,124,449,610.24","12,945,184.00","241.36","United States","NASDAQ","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","3,088,643,214.24","0.37","3,088,643,214.24","21,574,764.00","143.16","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,085,152,447.64","0.37","3,085,152,447.64","15,241,342.00","202.42","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","3,063,883,624.40","0.37","3,063,883,624.40","4,725,080.00","648.43","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,016,268,874.72","0.36","3,016,268,874.72","11,571,216.00","260.67","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","2,883,085,230.75","0.35","2,883,085,230.75","21,685,485.00","132.95","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","2,861,957,592.88","0.35","2,861,957,592.88","1,882,904.00","1,519.97","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","2,838,081,971.78","0.34","2,838,081,971.78","11,950,322.00","237.49","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","2,779,605,756.48","0.34","2,779,605,756.48","16,608,543.00","167.36","United States","NASDAQ","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,716,310,578.35","0.33","2,716,310,578.35","5,878,315.00","462.09","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,641,760,788.48","0.32","2,641,760,788.48","53,090,048.00","49.76","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","2,605,915,896.38","0.32","2,605,915,896.38","10,401,197.00","250.54","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","2,593,328,627.26","0.31","2,593,328,627.26","13,128,119.00","197.54","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,582,497,140.60","0.31","2,582,497,140.60","6,861,956.00","376.35","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","2,557,148,948.25","0.31","2,557,148,948.25","11,132,075.00","229.71","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","2,477,058,399.80","0.30","2,477,058,399.80","13,401,095.00","184.84","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,416,989,864.70","0.29","2,416,989,864.70","31,283,845.00","77.26","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,362,211,988.89","0.29","2,362,211,988.89","22,078,811.00","106.99","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","2,334,560,654.34","0.28","2,334,560,654.34","17,378,001.00","134.34","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","2,331,276,184.64","0.28","2,331,276,184.64","15,785,998.00","147.68","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","2,284,591,950.78","0.28","2,284,591,950.78","88,344,623.00","25.86","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,266,877,866.80","0.27","2,266,877,866.80","22,146,130.00","102.36","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","2,247,207,622.80","0.27","2,247,207,622.80","6,207,070.00","362.04","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,245,475,877.84","0.27","2,245,475,877.84","9,033,939.00","248.56","United States","NYSE","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,232,767,078.82","0.27","2,232,767,078.82","2,850,899.00","783.18","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","2,185,800,025.20","0.26","2,185,800,025.20","20,785,470.00","105.16","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","2,138,250,359.15","0.26","2,138,250,359.15","3,193,945.00","669.47","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","2,130,946,334.37","0.26","2,130,946,334.37","26,514,201.00","80.37","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","2,120,636,426.16","0.26","2,120,636,426.16","7,548,898.00","280.92","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,114,170,069.80","0.26","2,114,170,069.80","6,766,860.00","312.43","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","2,104,738,100.50","0.25","2,104,738,100.50","8,975,429.00","234.50","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","2,071,827,373.07","0.25","2,071,827,373.07","3,678,083.00","563.29","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","2,053,027,767.42","0.25","2,053,027,767.42","15,489,873.00","132.54","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,024,248,513.32","0.24","2,024,248,513.32","10,023,017.00","201.96","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","1,989,906,392.02","0.24","1,989,906,392.02","72,465,637.00","27.46","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","1,963,874,156.40","0.24","1,963,874,156.40","4,936,838.00","397.80","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","1,903,995,084.64","0.23","1,903,995,084.64","1,835,636.00","1,037.24","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","1,836,824,887.73","0.22","1,836,824,887.73","25,881,709.00","70.97","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","1,833,416,875.08","0.22","1,833,416,875.08","13,112,694.00","139.82","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","1,827,341,420.13","0.22","1,827,341,420.13","4,382,429.00","416.97","United States","NASDAQ","USD","1.00","USD","-"
