iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA","Information Technology","Equity","287,221,497.60","7.20","287,221,497.60","1,342,784.00","213.90","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE","Information Technology","Equity","268,212,986.34","6.73","268,212,986.34","806,874.00","332.41","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT","Information Technology","Equity","174,179,565.30","4.37","174,179,565.30","355,251.00","490.30","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET CLASS C","Communication","Equity","129,553,394.88","3.25","129,553,394.88","381,758.00","339.36","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","99,916,095.45","2.51","99,916,095.45","294,295.00","339.51","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET CLASS A","Communication","Equity","71,482,909.08","1.79","71,482,909.08","208,484.00","342.87","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","63,628,309.44","1.60","63,628,309.44","177,693.00","358.08","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY","Information Technology","Equity","62,924,790.15","1.58","62,924,790.15","67,913.00","926.55","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES","Information Technology","Equity","57,226,775.00","1.44","57,226,775.00","111,662.00","512.50","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","55,748,628.72","1.40","55,748,628.72","48,996.00","1,137.82","United States","NYSE","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP","Financials","Equity","53,612,336.70","1.34","53,612,336.70","397,305.00","134.94","United States","NYSE","USD","1.00","USD","-"
"V","VISA CLASS A","Financials","Equity","49,717,602.55","1.25","49,717,602.55","134,035.00","370.93","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","49,499,381.96","1.24","49,499,381.96","244,538.00","202.42","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","43,254,445.21","1.08","43,254,445.21","281,843.00","153.47","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","39,913,638.73","1.00","39,913,638.73","131,959.00","302.47","United States","NYSE","USD","1.00","USD","-"
"MA","MASTERCARD CLASS A","Financials","Equity","39,495,528.75","0.99","39,495,528.75","69,565.00","567.75","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB","Materials","Equity","38,545,788.96","0.97","38,545,788.96","140,637.00","274.08","United States","NYSE","USD","1.00","USD","-"
"LRCX","LAM RESEARCH","Information Technology","Equity","33,414,135.30","0.84","33,414,135.30","124,110.00","269.23","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","32,257,816.80","0.81","32,257,816.80","85,872.00","375.65","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","31,392,485.28","0.79","31,392,485.28","212,571.00","147.68","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","30,954,117.60","0.78","30,954,117.60","74,520.00","415.38","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","30,367,444.95","0.76","30,367,444.95","300,519.00","101.05","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","30,036,627.06","0.75","30,036,627.06","204,303.00","147.02","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","29,918,428.34","0.75","29,918,428.34","277,691.00","107.74","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","29,786,199.52","0.75","29,786,199.52","118,888.00","250.54","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","28,602,029.21","0.72","28,602,029.21","91,547.00","312.43","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","28,309,201.44","0.71","28,309,201.44","27,859.00","1,016.16","United States","NASDAQ","USD","1.00","USD","-"
"LNG","CHENIERE ENERGY","Energy","Equity","28,136,508.75","0.71","28,136,508.75","105,085.00","267.75","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","28,065,649.14","0.70","28,065,649.14","200,727.00","139.82","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","27,867,789.44","0.70","27,867,789.44","560,044.00","49.76","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","27,677,028.99","0.69","27,677,028.99","314,977.00","87.87","United States","NYSE","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","27,414,702.50","0.69","27,414,702.50","51,971.00","527.50","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","27,337,447.20","0.69","27,337,447.20","87,368.00","312.90","United States","NYSE","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","27,100,377.92","0.68","27,100,377.92","231,548.00","117.04","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","26,925,704.98","0.68","26,925,704.98","30,127.00","893.74","United States","NASDAQ","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","25,099,532.56","0.63","25,099,532.56","61,706.00","406.76","United States","NYSE","USD","1.00","USD","-"
"STE","STERIS","Health Care","Equity","24,993,212.80","0.63","24,993,212.80","119,072.00","209.90","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","24,892,192.08","0.62","24,892,192.08","59,031.00","421.68","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","23,766,099.28","0.60","23,766,099.28","100,072.00","237.49","United States","NYSE","USD","1.00","USD","-"
"OKE","ONEOK","Energy","Equity","23,518,082.70","0.59","23,518,082.70","253,701.00","92.70","United States","NYSE","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES","Energy","Equity","23,282,510.43","0.58","23,282,510.43","81,759.00","284.77","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","22,708,377.30","0.57","22,708,377.30","261,919.00","86.70","United States","NYSE","USD","1.00","USD","-"
